"Category","Current Item ID","Current Item","Action","New Item or Destination","Reason","Live DB pick count","Static recommendation ids"
"Feeding + Pumping","bottle-brush","Bottle cleaning basics","KEEP","Bottle cleaning basics","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Feeding + Pumping","bottle-drying-rack","Bottle drying rack or drying mat","COMBINE","Bottle cleaning basics","Drying setup belongs under the broader bottle cleaning + drying supplies item; move picks there.","1",""
"Feeding + Pumping","dishwasher-basket","Dishwasher basket for small parts","COMBINE","Bottle cleaning basics","Small-parts dishwasher basket is an accessory inside the cleaning system; move picks there.","2",""
"Feeding + Pumping","bottle-labels-daycare","Bottle labels for daycare","MOVE TO NOTE","Insulated bottle or milk cooler","Daycare labeling is useful only after childcare is known.","0",""
"Feeding + Pumping","insulated-bottle-cooler","Insulated bottle or milk cooler","KEEP","Insulated bottle or milk cooler","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Feeding + Pumping","primary-pump","Insurance-covered primary breast pump, if needed","KEEP","Insurance-covered primary breast pump, if needed","Meaningful parent planning decision; keep as a standalone checkbox.","0","breast-pump-pick"
"Feeding + Pumping","manual-pump","Manual breast pump","KEEP","Manual breast pump","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5",""
"Feeding + Pumping","wearable-pump","Wearable pump","KEEP","Wearable pump","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5",""
"Feeding + Pumping","flange-sizing","Correct pump flange sizes or inserts","KEEP","Correct pump flange sizes or inserts","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","extra-pump-parts","Extra pump parts after you know your system","MOVE TO NOTE","Insurance-covered primary breast pump, if needed","Pump spares should wait until the pump and flange fit are known.","0",""
"Feeding + Pumping","milk-collectors","Milk collection cups or collectors","KEEP","Milk collection cups or collectors","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","milk-storage","Breastmilk storage bags or containers","KEEP","Breastmilk storage bags or containers","Meaningful checklist decision with 3 live product pick(s) or clear planning value.","3",""
"Feeding + Pumping","milk-freezer-organizer","Milk freezer organizer","MOVE TO NOTE","Breastmilk storage bags or containers","Freezer organization is a storage detail, not a separate decision.","0",""
"Feeding + Pumping","pumping-bra","Pumping bra","KEEP","Pumping bra","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","pump-bag-cleaning","Portable pump bag and cleaning supplies","KEEP","Portable pump bag and cleaning supplies","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","nursing-pillow","Nursing pillow","KEEP","Nursing pillow","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","nursing-bras-tanks","Nursing bras or tanks","KEEP","Nursing bras or tanks","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","nursing-pads-balm","Nursing pads and nipple balm","KEEP","Nursing pads and nipple balm","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","nursing-cover","Nursing cover","KEEP","Nursing cover","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","sterilizer","Microwave sterilization bags or container","KEEP","Microwave sterilization bags or container","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Feeding + Pumping","bottle-washer","Bottle washer or countertop sterilizer","KEEP","Bottle washer or countertop sterilizer","Meaningful checklist decision with 4 live product pick(s) or clear planning value.","4",""
"Feeding + Pumping","warm-water-dispenser","Bottle warmer or warm-water dispenser","KEEP","Bottle warmer or warm-water dispenser","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Feeding + Pumping","formula-prep","Formula pitcher or diaper-bag dispenser","KEEP","Formula pitcher or diaper-bag dispenser","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","burp-cloths","8-12 burp cloths","KEEP","8-12 burp cloths","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Feeding + Pumping","pacifier-trial","Pacifier trial pack","KEEP","Pacifier trial pack","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Starting Solids","high-chair","High chair","KEEP","High chair","Meaningful checklist decision with 6 live product pick(s) or clear planning value.","6","high-chair-pick"
"Starting Solids","high-chair-fit-extras","High-chair tray or footrest, if required","MOVE TO NOTE","High chair","Tray, cushion, and footrest depend on the chosen chair.","0",""
"Starting Solids","solids-bibs","2-3 silicone or wipeable bibs","KEEP","2-3 silicone or wipeable bibs","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Starting Solids","first-spoons","First spoons","COMBINE","First spoons, bowls, plates, and cups","Duplicate with the broader first-feeding set.","0",""
"Starting Solids","bowls-plates","First spoons, bowls, plates, and cups","KEEP","First spoons, bowls, plates, and cups","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Starting Solids","open-straw-cups","Open cup and straw cup","KEEP","Open cup and straw cup","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Starting Solids","snack-food-storage","Snack and food storage containers","KEEP","Snack and food storage containers","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Starting Solids","placemat-splash-mat","Portable placemat or splash mat","COMBINE","Snack and food storage containers","Cleanup accessories belong under later solids/out-of-house supplies.","0",""
"Starting Solids","portable-high-chair","Portable high chair or hook-on chair","KEEP","Portable high chair or hook-on chair","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","newborn-diapers","Diapers in newborn and size 1","KEEP","Diapers in newborn and size 1","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","size-one-diapers","Size 1 diapers","COMBINE","Diapers in newborn and size 1","Duplicate diaper sizing guidance.","0",""
"Diapering","diaper-trial","Diaper brand trial or small packs","KEEP","Diaper brand trial or small packs","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","baby-wipes","Baby wipes","KEEP","Baby wipes","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","diaper-cream","Diaper cream or barrier ointment","KEEP","Diaper cream or barrier ointment","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","changing-pad","Changing pad","KEEP","Changing pad","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5",""
"Diapering","changing-liners","Changing-pad covers or waterproof liners","MOVE TO NOTE","Changing pad","Covers/liners depend on the surface chosen.","0",""
"Diapering","portable-changing-mat","Portable changing mat","KEEP","Portable changing mat","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diapering","diaper-pail","Diaper pail and liners, if required","KEEP","Diaper pail and liners, if required","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2","diaper-pail-pick"
"Diapering","disposal-bags","Portable diaper disposal bags","MOVE TO NOTE","Portable changing mat","Portable bags belong in the outing change kit.","0",""
"Diapering","diaper-caddy","Diaper caddy or second caddy for multi-level homes","KEEP","Diaper caddy or second caddy for multi-level homes","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Diapering","wet-dry-bag","Wet/dry bag","KEEP","Wet/dry bag","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Bath","bathtub","Baby bathtub","KEEP","Baby bathtub","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5","bathtub-pick"
"Bath","bath-stand","Bath stand","MOVE TO NOTE","Baby bathtub","Optional support accessory for a specific bathing setup; move pick if needed.","1",""
"Bath","hooded-towels","Hooded towels + washcloths","KEEP","Hooded towels + washcloths","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Bath","washcloths","6-8 washcloths","COMBINE","Hooded towels + washcloths","Duplicate towel/washcloth coverage.","0",""
"Bath","baby-wash","Gentle baby wash + shampoo","KEEP","Gentle baby wash + shampoo","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2",""
"Bath","baby-lotion","Fragrance-free moisturizer","KEEP","Fragrance-free moisturizer","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Bath","bath-thermometer","Rinsing cup or bath thermometer","KEEP","Rinsing cup or bath thermometer","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Bath","kneeler","Kneeler + elbow rest","COMBINE","Spout cover and non-slip bath mat","Later big-tub comfort/safety accessory; move picks under a later big-tub item.","2",""
"Bath","spout-cover","Spout cover and non-slip bath mat","KEEP","Spout cover and non-slip bath mat","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Bath","bath-toys-storage","Bath toys and draining storage","COMBINE","Spout cover and non-slip bath mat","Later bath play/storage can sit under one later big-tub item.","0",""
"Health + Grooming","thermometer","Digital infant thermometer","KEEP","Digital infant thermometer","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","nasal-saline","Nasal aspirator + saline","KEEP","Nasal aspirator + saline","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","nail-care","Nail file or baby nail clippers","KEEP","Nail file or baby nail clippers","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","brush-comb","Soft baby brush or comb","KEEP","Soft baby brush or comb","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","oral-syringe","Medicine dispenser or oral syringe","COMBINE","Basic first-aid supplies","Medicine syringe belongs in the basic first-aid kit.","0",""
"Health + Grooming","first-aid-basics","Basic first-aid supplies","KEEP","Basic first-aid supplies","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","humidifier-care","Humidifier cleaning supplies, if using","MOVE TO NOTE","Cool-mist humidifier","Cleaning supplies are required guidance for humidifier ownership, not a separate item.","0",""
"Health + Grooming","toothbrush-teethers","Baby toothbrush and teethers","KEEP","Baby toothbrush and teethers","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","sunscreen-guidance","Baby sunscreen plan","KEEP","Baby sunscreen plan","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Health + Grooming","health-tracker","Health-record or medication tracker","KEEP","Health-record or medication tracker","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","rear-facing-car-seat","A rear-facing car seat appropriate for baby's size and your vehicle","KEEP","A rear-facing car seat appropriate for baby's size and your vehicle","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","infant-car-seat","Infant car seat","KEEP","Infant car seat","Meaningful checklist decision with 3 live product pick(s) or clear planning value.","3","infant-car-seat-pick"
"Getting Around","infant-seat-base","Included infant-seat base, if using an infant seat","KEEP","Included infant-seat base, if using an infant seat","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","extra-infant-base","Extra infant-seat base","REMOVE","Remove standalone item; optional guidance only under Infant car seat","Hard-rule violation: TMBC does not recommend an extra infant-seat base as a default checklist item.","0",""
"Getting Around","convertible-car-seat","Convertible or all-in-one car seat","KEEP","Convertible or all-in-one car seat","Meaningful checklist decision with 3 live product pick(s) or clear planning value.","3","britax-galaxy360"
"Getting Around","car-seat-registration","Car-seat registration completed","KEEP","Car-seat registration completed","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","cpst-install-check","CPST installation check","KEEP","CPST installation check","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","primary-stroller","Primary stroller","KEEP","Primary stroller","Meaningful checklist decision with 6 live product pick(s) or clear planning value.","6","primary-stroller-pick|nuna-demi-icon"
"Getting Around","car-seat-adapters","Stroller car-seat adapters, if required","KEEP","Stroller car-seat adapters, if required","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","stroller-bassinet","Stroller bassinet","KEEP","Stroller bassinet","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","stroller-weather-accessories","Stroller rain cover, insect net, or fan","KEEP","Stroller rain cover, insect net, or fan","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","parent-organizer-cup-holder","Parent organizer or cup holder","MOVE TO NOTE","Stroller rain cover, insect net, or fan","Minor stroller convenience accessory.","0",""
"Getting Around","child-snack-tray","Child snack tray","MOVE TO NOTE","Stroller rain cover, insect net, or fan","Later stroller accessory, not its own planning decision.","0",""
"Getting Around","sibling-stroller-kit","Ride-on board, second seat, or sibling kit","KEEP","Ride-on board, second seat, or sibling kit","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Getting Around","travel-system-stroller","Compact travel stroller","KEEP","Compact travel stroller","Meaningful checklist decision with 5 live product pick(s) or clear planning value.","5","travel-stroller-pick"
"Getting Around","carrier","Structured baby carrier","KEEP","Structured baby carrier","Meaningful checklist decision with 2 live product pick(s) or clear planning value.","2","baby-carrier-pick"
"Getting Around","soft-wrap-carrier","Soft wrap or newborn carrier","KEEP","Soft wrap or newborn carrier","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diaper Bag","diaper-bag-backpack","Diaper bag or backpack","KEEP","Diaper bag or backpack","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diaper Bag","diaper-bag-changing-kit","Compact outing changing kit","KEEP","Compact outing changing kit","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diaper Bag","small-diaper-pouch","Small diaper pouch","COMBINE","Diaper bag or backpack","Internal organization is a bag feature/accessory.","0",""
"Diaper Bag","travel-wipes-disposal","Travel wipe case and disposal bags","COMBINE","Compact outing changing kit","Wipes and disposal bags are contents of the outing change kit.","0",""
"Diaper Bag","baby-change-clothes","Change of clothes for baby","COMBINE","Compact outing changing kit","Spare baby outfit belongs in the outing kit.","0",""
"Diaper Bag","parent-spare-shirt","Spare shirt for parent","MOVE TO NOTE","Compact outing changing kit","Helpful note, not a registry decision.","0",""
"Diaper Bag","feeding-pacifier-kit","Feeding supplies and pacifier case as needed","KEEP","Feeding supplies and pacifier case as needed","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Diaper Bag","adult-sanitizer-firstaid","Hand sanitizer and small first-aid pouch","COMBINE","Feeding supplies and pacifier case as needed","Small outing supplies should be noted inside the diaper-bag packing system.","0",""
"Clothing","bodysuits","6-8 everyday bodysuits","KEEP","6-8 everyday bodysuits","Meaningful checklist decision with 4 live product pick(s) or clear planning value.","4",""
"Clothing","sleepers","6-8 zip sleepers","KEEP","6-8 zip sleepers","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Clothing","easy-outfits","2-3 easy outfits","KEEP","2-3 easy outfits","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Clothing","socks-booties","Socks or booties","COMBINE","Seasonal layers","Socks/booties are part of seasonal clothing planning.","0",""
"Clothing","seasonal-layers","Seasonal layers","KEEP","Seasonal layers","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Clothing","muslin-blankets","2-3 lightweight muslin blankets","KEEP","2-3 lightweight muslin blankets","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Clothing","laundry-care","Fragrance-free detergent and gentle stain remover","KEEP","Fragrance-free detergent and gentle stain remover","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Clothing","special-outfit","Special occasion or coming-home outfit","COMBINE","2-3 easy outfits","Special outfit is an optional outfit use case.","0",""
"Play + Development","play-mat","Large floor or play mat","KEEP","Large floor or play mat","Meaningful checklist decision with 8 live product pick(s) or clear planning value.","8",""
"Play + Development","activity-gym","Activity gym","KEEP","Activity gym","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Play + Development","high-contrast-cards","Newborn sensory toys","KEEP","Newborn sensory toys","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Play + Development","tummy-time-mirror","Tummy-time mirror","COMBINE","Newborn sensory toys","Mirror is one early sensory-toy example.","0",""
"Play + Development","rattles-crinkle-toy","Soft rattles or crinkle toy","COMBINE","Newborn sensory toys","Rattles/crinkle toys are part of the sensory-toy starter set.","0",""
"Play + Development","board-books","Board books","KEEP","Board books","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Play + Development","teethers","Teethers","COMBINE","Baby toothbrush and teethers","Move teething product planning into health/oral-care item.","0",""
"Play + Development","grasping-stacking-sensory","Grasping toys, stacking cups, or sensory balls","KEEP","Grasping toys, stacking cups, or sensory balls","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Play + Development","activity-center","Stationary activity center","KEEP","Stationary activity center","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Play + Development","push-walker","Push walker, shape sorter, or toy basket","COMBINE","Stationary activity center","Later toddler toys can be noted under later developmental gear; move pick there if retained.","1",""
"Awake-Time Gear","awake-seat","One bouncer or safe awake-time seat","KEEP","One bouncer or safe awake-time seat","Meaningful checklist decision with 1 live product pick(s) or clear planning value.","1",""
"Awake-Time Gear","swing","Swing","KEEP","Swing","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Awake-Time Gear","portable-bouncer","Portable bouncer","COMBINE","One bouncer or safe awake-time seat","Portable bouncer is a version of the awake-time seat decision.","0",""
"Awake-Time Gear","contained-play-space","Playard or activity center as contained play space","KEEP","Playard or activity center as contained play space","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Travel","travel-crib-plan","Travel crib or playard","KEEP","Travel crib or playard","Meaningful parent planning decision; keep as a standalone checkbox.","0","playard-pick"
"Travel","travel-crib-sheet","Travel crib sheet","MOVE TO NOTE","Travel crib or playard","Sheet is model-specific and belongs under the travel crib item.","0",""
"Travel","compact-travel-stroller","Compact or travel stroller","KEEP","Compact or travel stroller","Meaningful parent planning decision; keep as a standalone checkbox.","0","travel-stroller-pick"
"Travel","stroller-car-seat-travel-bags","Stroller or car-seat travel bag","KEEP","Stroller or car-seat travel bag","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Travel","travel-sleep-kit","Travel sound, blackout, and monitor kit","KEEP","Travel sound, blackout, and monitor kit","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Travel","travel-feeding-kit","Travel bottle drying or portable warmer setup","MOVE TO NOTE","Insulated bottle or milk cooler","Travel feeding details belong under feeding transport/warmer planning.","0",""
"Travel","portable-changing-kit","Portable changing kit","COMBINE","Compact outing changing kit","Duplicate of the diaper-bag outing change kit.","0",""
"Travel","gear-rental-plan","Rental plan for bulky destination gear","KEEP","Rental plan for bulky destination gear","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","smoke-co-detectors","Working smoke and carbon-monoxide detectors","KEEP","Working smoke and carbon-monoxide detectors","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","furniture-tv-anchoring","Furniture and TV anchoring","KEEP","Furniture and TV anchoring","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","outlet-covers","Outlet covers","COMBINE","Cabinet, drawer, outlet, and room-specific babyproofing","Outlet covers are part of the broader babyproofing kit.","0",""
"Home + Safety","cabinet-latches","Cabinet, drawer, outlet, and room-specific babyproofing","KEEP","Cabinet, drawer, outlet, and room-specific babyproofing","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","baby-gates","Baby gates and stair gates","KEEP","Baby gates and stair gates","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","window-cord-safety","Cordless window coverings or blind-cord safety","KEEP","Cordless window coverings or blind-cord safety","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Home + Safety","window-guards-stops","Window guards or stops where appropriate","MOVE TO NOTE","Cordless window coverings or blind-cord safety","Window guards/stops are home-specific window safety details.","0",""
"Home + Safety","door-toilet-stove-safety","Door, toilet, stove, and appliance safety solutions","COMBINE","Cabinet, drawer, outlet, and room-specific babyproofing","Room-specific locks belong in the broader babyproofing item.","0",""
"Home + Safety","pool-safety-review","Pool safety review, where applicable","KEEP","Pool safety review, where applicable","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Postpartum","postpartum-underwear-pads","Postpartum recovery basics","KEEP","Postpartum recovery basics","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Postpartum","peri-bottle-cold-packs","Peri bottle and cold packs","COMBINE","Postpartum recovery basics","Recovery accessories belong inside the recovery basics item.","0",""
"Postpartum","lounge-clothes","Comfortable lounge clothes or pajamas","KEEP","Comfortable lounge clothes or pajamas","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Postpartum","nursing-pumping-bras","Nursing or pumping bras, if needed","KEEP","Nursing or pumping bras, if needed","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Postpartum","feeding-comfort","Breast pads and nipple care, if needed","COMBINE","Nursing or pumping bras, if needed","Duplicate feeding comfort supplies already covered by feeding/postpartum support.","0",""
"Postpartum","parent-station","Large water bottle, snacks, and long charging cable","KEEP","Large water bottle, snacks, and long charging cable","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Postpartum","c-section-recovery-support","C-section recovery support, if relevant","KEEP","C-section recovery support, if relevant","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Support + Services","pediatrician-selected","Pediatrician selected","KEEP","Pediatrician selected","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Support + Services","lactation-support-contact","Lactation support contact, if desired","KEEP","Lactation support contact, if desired","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Support + Services","postpartum-doula-support","Postpartum doula or newborn-care support","KEEP","Postpartum doula or newborn-care support","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Support + Services","meal-household-support","Meal train, meal delivery, or cleaning support","KEEP","Meal train, meal delivery, or cleaning support","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Support + Services","family-pet-night-help","Pet, babysitting, family-help, or night-support plan","COMBINE","Meal train, meal delivery, or cleaning support","Household/pet/night help should become one postpartum household support item.","0",""
"Support + Services","newborn-photo-keepsake","Newborn photography, announcement, or keepsake plan","KEEP","Newborn photography, announcement, or keepsake plan","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","choose-primary-registry","Registry platform strategy","KEEP","Registry platform strategy","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","secondary-registries-value","Create secondary registries only for real value","COMBINE","Registry platform strategy","Secondary registries are part of platform strategy.","0",""
"Registry Strategy","welcome-boxes","Claim eligible welcome boxes","KEEP","Claim eligible welcome boxes","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","completion-discount-plan","Check completion-discount rules and dates","KEEP","Check completion-discount rules and dates","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","later-stage-discount-items","Add later-stage items before the discount closes","COMBINE","Check completion-discount rules and dates","Later-stage additions are part of completion-discount planning.","0",""
"Registry Strategy","rewards-cashback-sales","Compare retailer rewards, cashback, and sale periods","COMBINE","Check completion-discount rules and dates","Rewards/cashback/sale timing belongs under purchase strategy.","0",""
"Registry Strategy","insurance-hsa-fsa","Check insurance and HSA/FSA eligibility","KEEP","Check insurance and HSA/FSA eligibility","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","group-gifting-service-cash","Create group-gifting, service, or cash-fund options","KEEP","Create group-gifting, service, or cash-fund options","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","openbox-secondhand-rental","Check open-box, secondhand, and rental opportunities","KEEP","Check open-box, secondhand, and rental opportunities","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","register-gear-recalls","Product registration, warranties, and receipts","KEEP","Product registration, warranties, and receipts","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
"Registry Strategy","returns-packaging","Save receipts and keep packaging on uncertain items","COMBINE","Product registration, warranties, and receipts","Receipts/packaging belong under ownership/warranty follow-through.","0",""
"Registry Strategy","first-eight-weeks-plan","Build around the first 8 weeks first","KEEP","Build around the first 8 weeks first","Meaningful parent planning decision; keep as a standalone checkbox.","0",""
