chart_brand,chart_model_verbatim,classification,production_seat,ug3_row_status,note
Maxi-Cosi,Coral i-size,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Marble,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Mico 30,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Mico NXT,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Pebble,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Pebble 360,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Pebble Plus i-size,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Pebble Pro i-size,CATALOGUE_GAP,—,no row,Not stocked (production Maxi-Cosi = Ambra/Mico Luxe/Mico Pro/Mico XP/Peri 180).
Maxi-Cosi,Mico Luxe,EXACT_CANONICAL_MATCH,Maxi-Cosi Mico Luxe,KEEP confirmed,Exact. UG3 KEEP validated.
Maxi-Cosi,Peri 180,EXACT_CANONICAL_MATCH,Maxi-Cosi Peri 180,KEEP confirmed,Exact. UG3 KEEP validated.
Nuna,Pipa RX,EXACT_CANONICAL_MATCH,Nuna PIPA RX,KEEP confirmed,Exact. UG3 KEEP validated.
Nuna,Pipa Aire RX,EXACT_CANONICAL_MATCH,Nuna PIPA Aire rx,KEEP confirmed,Exact. UG3 KEEP validated.
Nuna,Pipa Aire,EXACT_CANONICAL_MATCH,Nuna PIPA Aire,KEEP confirmed,Exact. UG3 KEEP validated.
Nuna,Arra Next,CATALOGUE_GAP,—,no row,Arra (convertible line); production Nuna infant = PIPA family. Not a match.
Nuna,Pipa,CATALOGUE_GAP,—,no row,"Plain classic Pipa; production has PIPA Aire/Aire rx/RX/urbn, not plain Pipa."
Nuna,Pipa Lite,CATALOGUE_GAP,—,no row,Not stocked.
Nuna,Pipa Lite R,CATALOGUE_GAP,—,no row,Not stocked.
Nuna,Pipa Lite RX,CATALOGUE_GAP,—,no row,Not stocked.
Thule,Maple,CATALOGUE_GAP,—,no row,Thule own seat; not in CarSeat catalogue. Select markets only.
—,[NEG/ABSENT] Maxi-Cosi Ambra / Mico Pro / Mico XP; Nuna PIPA urbn,ABSENT_FROM_CHART,(those production seats),REMOVE confirmed,None appear on 20110761 → UG3 REMOVE validated.
—,[ABSENT] Cybex Aton G2 / Aton G2 Swivel,ABSENT_FROM_CHART,Cybex Aton G2 / Aton G2 Swivel,VERIFY confirmed,"Chart names ""Aton G"", NOT ""Aton G2"" → the 6 UG3/UG4/UG3-Double Aton G2 rows correctly remain VERIFY. Absence is not affirmative incompatibility."
